,tran_0,tran_0_fb_terms,tran_1,tran_1_fb_docs,map
0,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,0.28459128342514306
1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",2,0.2861969927297312
2,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",3,0.28059314371420413
3,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",4,0.2865908961598808
4,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",5,0.2836109769704308
5,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",6,0.29531491298527934
6,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",7,0.30704002860717344
7,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",8,0.30696115988415257
8,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",9,0.30301964193568304
9,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",1,0.34618421823352663
10,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",2,0.3485353602563106
11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",3,0.3376090089357349
12,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",4,0.34161599258953906
13,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",5,0.33688017645574503
14,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",6,0.3458967518055251
15,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",7,0.3446426593695945
16,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,9,91,<org.terrier.querying.RM3 at 0x7f723466f290 jclass=org/terrier/querying/RM3 jself=<LocalRef obj=0x3b24568 at 0x7f723465b3b0>>)",8,0.34170076799324645
